claim_id,policy_id,claim_date,claim_amount,claim_status,claim_type,fraud_flag,days_to_process
CLM70040,POL50618,2025-01-04,370270.44,Pending,Death,No,33
CLM70041,POL50377,2023-08-18,416775.36,Rejected,Theft,Yes,26
CLM70042,POL50970,2025-02-28,180895.91,Approved,Hospital,No,12
CLM70043,POL50526,2022-03-18,339934.17,Approved,Hospital,No,22
CLM70044,POL50503,2023-10-04,197808.49,Rejected,Theft,No,42
CLM70045,POL51828,2023-10-19,220127.28,Approved,Theft,No,38
CLM70046,POL52664,2021-10-24,141949.13,Pending,Accident,No,29
CLM70047,POL50032,2023-12-17,170917.58,Rejected,Accident,No,15
CLM70048,POL51992,2024-06-29,172869.02,Pending,Accident,Yes,9
CLM70049,POL51861,2021-09-23,151913.15,Approved,Other,No,13
CLM70050,POL51650,2023-03-10,349336.15,Approved,Theft,No,14
CLM70051,POL51954,2024-11-24,273213.89,Rejected,Hospital,No,43
CLM70052,POL51433,2026-02-20,95627.95,Approved,Other,No,24
CLM70053,POL52621,2024-10-09,156695.16,Pending,Other,Yes,18
CLM70054,POL50445,2021-11-19,211306.7,Approved,Hospital,No,39
CLM70055,POL51332,2026-03-18,125864.1,Pending,Other,No,17
CLM70056,POL51843,2026-06-28,178617.85,Pending,Theft,No,36
CLM70057,POL52570,2024-01-05,219750.16,Approved,Other,No,29
CLM70058,POL51370,2025-04-16,153494.44,Approved,Hospital,No,14
CLM70059,POL52762,2023-01-21,185060.36,Rejected,Hospital,No,43
CLM70060,POL51853,2026-08-01,359490.57,Pending,Hospital,No,31
CLM70061,POL51974,2023-06-18,189637.94,Approved,Other,No,44
CLM70062,POL52311,2025-12-14,473909.71,Rejected,Accident,Yes,1
CLM70063,POL52072,2024-03-10,307526.16,Pending,Other,Yes,13
CLM70064,POL51473,2023-06-02,91166.39,Approved,Theft,No,15
CLM70065,POL52179,2025-03-16,1039550.47,Rejected,Death,No,30
CLM70066,POL50097,2023-08-17,170655.9,Rejected,Hospital,Yes,37
CLM70067,POL52638,2021-12-26,98849.38,Approved,Theft,No,6
CLM70068,POL52325,2024-12-14,606556.62,Rejected,Death,No,7
CLM70069,POL51799,2023-06-07,189283.02,Pending,Hospital,No,30
CLM70070,POL50192,2025-04-08,129460.39,Pending,Other,Yes,16
CLM70071,POL50832,2023-05-15,184567.74,Approved,Accident,No,31
CLM70072,POL50715,2025-04-01,893882.26,Pending,Death,No,1
CLM70073,POL50724,2025-08-10,747661.73,Pending,Hospital,Yes,24
CLM70074,POL51896,2023-01-24,63308.9,Pending,Other,Yes,2
CLM70075,POL52478,2025-06-27,388470.02,Approved,Hospital,No,42
CLM70076,POL51923,2023-03-10,891769.42,Approved,Death,No,7
CLM70077,POL51094,2023-08-23,144606.67,Rejected,Theft,No,8
CLM70078,POL52741,2026-04-03,80199.92,Pending,Hospital,No,5
CLM70079,POL52439,2024-11-24,219645.95,Approved,Other,No,10
CLM70080,POL51934,2023-07-22,72977.53,Pending,Other,No,22
CLM70081,POL51120,2024-01-12,272299.84,Pending,Theft,No,28
CLM70082,POL51930,2024-12-19,358274.96,Approved,Other,No,40
CLM70083,POL51149,2024-07-21,78983.06,Pending,Other,No,39
CLM70084,POL50436,2026-04-24,394574.45,Approved,Hospital,No,4
CLM70085,POL51747,2025-07-20,253200.23,Approved,Accident,No,19
CLM70086,POL51971,2024-04-19,87738.31,Approved,Accident,No,39
CLM70087,POL50983,2022-04-27,120448.12,Approved,Hospital,No,8
CLM70088,POL52627,2023-04-18,273301.13,Rejected,Accident,No,30
CLM70089,POL52415,2026-06-14,1099913.02,Pending,Death,Yes,19
CLM70090,POL51644,2023-05-31,68053.19,Rejected,Other,No,8
CLM70091,POL50167,2024-10-05,914380.98,Pending,Death,Yes,3
CLM70092,POL50045,2023-09-10,226424.89,Pending,Other,Yes,13
CLM70093,POL51806,2021-11-24,362460.43,Rejected,Hospital,No,1
CLM70094,POL52299,2025-12-07,146428.74,Pending,Theft,No,9
CLM70095,POL51407,2022-06-20,273927.08,Rejected,Hospital,No,25
CLM70096,POL50064,2022-02-26,427382.16,Approved,Accident,No,35
CLM70097,POL50406,2022-03-16,336923.38,Rejected,Hospital,No,23
CLM70098,POL50596,2026-05-06,234241.8,Pending,Other,No,32
CLM70099,POL51772,2024-01-21,232846.83,Approved,Hospital,No,4
CLM70100,POL51366,2025-06-22,171691.28,Pending,Theft,No,14
CLM70101,POL50286,2026-07-31,1031172.26,Pending,Death,No,29
CLM70102,POL51411,2025-09-19,150166.28,Approved,Hospital,No,3
CLM70103,POL52459,2025-05-03,313877.99,Rejected,Theft,No,26
CLM70104,POL51234,2022-11-09,116309.95,Rejected,Accident,No,8
CLM70105,POL50421,2026-03-04,116568.62,Rejected,Other,No,19
CLM70106,POL51629,2022-07-17,147306.27,Rejected,Other,No,28
CLM70107,POL52628,2026-02-19,316176.52,Approved,Accident,Yes,44
CLM70108,POL50325,2025-06-14,250065.06,Approved,Theft,No,4
CLM70109,POL50440,2023-10-10,526343.48,Rejected,Accident,No,25
CLM70110,POL51598,2021-12-29,155946.24,Approved,Other,No,24
CLM70111,POL50956,2024-09-24,104756.89,Pending,Other,No,3
CLM70112,POL52532,2022-03-31,232512.17,Approved,Accident,No,27
CLM70113,POL52010,2025-11-28,187528.11,Pending,Hospital,No,4
CLM70114,POL50413,2022-01-14,194533.04,Rejected,Other,No,31
CLM70115,POL52463,2025-06-28,527893.87,Pending,Death,No,10
CLM70116,POL51813,2024-09-15,824419.83,Approved,Death,No,6
CLM70117,POL51388,2025-11-16,2025811.77,Rejected,Death,Yes,4
CLM70118,POL50723,2026-04-17,164114.01,Rejected,Other,No,21
CLM70119,POL51834,2023-04-12,106323.94,Approved,Theft,No,11
CLM70120,POL52541,2025-03-02,151876.02,Rejected,Theft,No,21
CLM70121,POL50105,2023-07-24,72033.83,Approved,Hospital,No,40
CLM70122,POL51056,2026-08-14,174779.78,Pending,Theft,No,37
CLM70123,POL52646,2024-07-17,410262.64,Pending,Theft,Yes,34
CLM70124,POL51077,2022-09-02,121550.04,Approved,Hospital,Yes,21
CLM70125,POL50097,2022-12-08,120715.61,Pending,Accident,No,5
CLM70126,POL50284,2023-11-11,129843.11,Approved,Theft,No,18
CLM70127,POL51949,2023-02-07,348725.72,Pending,Hospital,Yes,1
CLM70128,POL51977,2022-09-05,422114.09,Rejected,Theft,No,6
CLM70129,POL50323,2022-06-26,312800.93,Approved,Accident,No,14
CLM70130,POL50618,2025-09-28,94632.6,Pending,Theft,No,31
CLM70131,POL51589,2025-09-19,148342.36,Approved,Other,No,35
CLM70132,POL51937,2022-08-20,440393.92,Rejected,Theft,No,28
CLM70133,POL50441,2024-08-01,214007.39,Rejected,Accident,No,12
CLM70134,POL51284,2024-10-26,193097.09,Rejected,Theft,No,32
CLM70135,POL51584,2025-01-06,248118.72,Rejected,Hospital,No,44
CLM70136,POL50137,2022-09-09,115414.44,Approved,Accident,No,29
CLM70137,POL50631,2025-09-21,1482326.54,Approved,Death,No,34
CLM70138,POL52599,2026-02-21,1379223.09,Approved,Death,No,39
CLM70139,POL52489,2023-06-21,92267.38,Rejected,Accident,No,32
CLM70140,POL50909,2023-09-18,462695.4,Pending,Death,No,39
CLM70141,POL52454,2024-05-28,92368.43,Approved,Other,No,14
CLM70142,POL51785,2022-01-12,319834.02,Pending,Hospital,No,14
CLM70143,POL52776,2022-08-07,151119.59,Rejected,Hospital,No,8
CLM70144,POL52733,2025-04-28,220001.07,Approved,Theft,No,9
CLM70145,POL51742,2026-03-25,164361.68,Rejected,Theft,No,25
CLM70146,POL51316,2024-11-19,186520.79,Rejected,Theft,No,41
CLM70147,POL50399,2024-02-26,281912.08,Pending,Hospital,No,10
CLM70148,POL51495,2025-11-01,206257.2,Rejected,Theft,No,32
CLM70149,POL51123,2024-07-11,217922.96,Approved,Hospital,Yes,4
CLM70150,POL51822,2024-01-16,211981.09,Approved,Theft,No,43
CLM70151,POL50250,2023-06-08,167188.4,Pending,Other,No,24
CLM70152,POL52359,2024-10-06,135071.17,Approved,Other,Yes,22
CLM70153,POL52735,2024-06-19,145087.81,Approved,Theft,No,16
CLM70154,POL50591,2022-05-12,384082.24,Rejected,Other,No,43
CLM70155,POL51786,2022-01-03,176315.52,Rejected,Hospital,No,19
CLM70156,POL52265,2023-10-24,435774.56,Approved,Hospital,No,6
CLM70157,POL51563,2023-07-22,638952.55,Pending,Death,No,25
CLM70158,POL52645,2022-01-10,1349490,Pending,Death,No,26
CLM70159,POL51441,2022-01-23,536736.17,Pending,Hospital,No,33
CLM70160,POL50763,2025-08-02,185837.81,Rejected,Hospital,No,22
CLM70161,POL51326,2023-03-01,107440.72,Approved,Other,No,13
CLM70162,POL51371,2022-04-06,177507.48,Rejected,Hospital,Yes,1
CLM70163,POL50716,2022-10-29,891326.63,Rejected,Death,No,44
CLM70164,POL52222,2024-09-05,1057148.46,Approved,Death,No,9
CLM70165,POL51744,2023-04-30,215644.01,Approved,Hospital,No,16
CLM70166,POL51042,2022-10-17,178329.91,Rejected,Hospital,No,7
CLM70167,POL51186,2026-05-18,2391475.2,Pending,Death,Yes,11
CLM70168,POL51046,2026-04-14,135695.84,Pending,Other,No,3
CLM70169,POL51259,2022-12-06,660068.8,Rejected,Death,No,15
CLM70170,POL51489,2025-03-10,333246.72,Rejected,Hospital,No,42
CLM70171,POL50931,2022-01-05,1374180.27,Rejected,Death,No,10
CLM70172,POL52311,2026-01-12,364746.12,Rejected,Theft,No,43
CLM70173,POL52625,2026-07-07,655496.39,Rejected,Accident,No,28
CLM70174,POL51473,2022-01-17,297256.95,Approved,Accident,No,40
CLM70175,POL52007,2024-07-20,155839.98,Pending,Theft,No,28
CLM70176,POL52631,2025-12-09,69535.56,Rejected,Theft,No,44
CLM70177,POL50542,2026-05-02,156418.52,Pending,Accident,No,25
CLM70178,POL50536,2024-03-04,998920.95,Rejected,Death,No,37
CLM70179,POL50202,2023-09-02,498659.67,Approved,Death,No,2
CLM70180,POL51243,2021-12-15,113171.01,Approved,Accident,No,42
CLM70181,POL50932,2025-02-28,155019.24,Rejected,Other,No,1
CLM70182,POL51580,2022-03-24,221188.42,Pending,Other,Yes,9
CLM70183,POL51268,2024-01-11,159129.42,Pending,Theft,No,33
CLM70184,POL50538,2026-04-06,281843.13,Approved,Theft,No,12
CLM70185,POL51101,2022-12-27,340274.42,Pending,Accident,Yes,2
CLM70186,POL50078,2021-10-27,319760.89,Pending,Theft,No,38
CLM70187,POL51515,2023-05-13,444679.82,Approved,Other,No,23
CLM70188,POL50765,2022-12-23,3325608.96,Rejected,Death,Yes,22
CLM70189,POL50315,2023-05-07,259509.27,Rejected,Theft,No,14
CLM70190,POL50183,2025-07-01,174810.49,Pending,Hospital,Yes,32
CLM70191,POL52015,2022-05-15,257850.22,Rejected,Accident,No,14
CLM70192,POL50698,2024-05-29,395275.96,Pending,Theft,Yes,25
CLM70193,POL51860,2025-05-05,115162.52,Pending,Theft,No,6
CLM70194,POL52304,2026-04-18,371217.22,Approved,Theft,No,14
CLM70195,POL51406,2024-12-27,165338.49,Rejected,Theft,No,2
CLM70196,POL50373,2026-01-24,280065.61,Rejected,Accident,No,13
CLM70197,POL51735,2022-11-07,100162.26,Pending,Other,No,17
CLM70198,POL50200,2022-01-14,464300.59,Pending,Death,Yes,33
CLM70199,POL52308,2026-05-31,191370.16,Pending,Hospital,No,37
CLM70200,POL52148,2026-03-13,287764.13,Rejected,Other,No,24
CLM70201,POL51133,2025-03-10,126719.57,Pending,Theft,No,41
CLM70202,POL50759,2025-07-02,403113.21,Approved,Theft,Yes,16
CLM70203,POL52002,2021-11-06,187733.65,Approved,Accident,No,22
CLM70204,POL51599,2026-07-31,146547.17,Pending,Accident,No,28
CLM70205,POL50407,2026-06-04,1021689.89,Approved,Death,No,8
CLM70206,POL52141,2024-08-30,210644.38,Rejected,Other,No,19
CLM70207,POL50940,2024-09-25,274652.01,Pending,Accident,No,40
CLM70208,POL52528,2022-01-28,194111.66,Approved,Theft,No,21
CLM70209,POL52344,2024-06-06,401190.73,Rejected,Theft,No,41
CLM70210,POL50778,2026-05-29,157290.21,Pending,Other,No,30
CLM70211,POL50719,2023-01-10,118561.51,Pending,Other,No,8
CLM70212,POL51122,2021-11-18,124853.72,Approved,Hospital,No,21
CLM70213,POL52272,2021-11-07,340282,Approved,Theft,No,17
CLM70214,POL50366,2024-03-18,145491.53,Rejected,Theft,No,42
CLM70215,POL50891,2024-12-04,127304.75,Pending,Other,No,15
CLM70216,POL51861,2023-10-31,423012.03,Rejected,Accident,No,22
CLM70217,POL50090,2023-03-11,614433.95,Approved,Hospital,No,31
CLM70218,POL50155,2025-12-03,283475.83,Pending,Accident,No,43
CLM70219,POL52150,2026-07-13,840414.84,Approved,Death,No,25
CLM70220,POL51472,2021-10-12,249294.44,Rejected,Accident,Yes,38
CLM70221,POL51572,2021-12-13,199077.02,Pending,Accident,No,6
CLM70222,POL50702,2025-07-17,184141.39,Pending,Hospital,No,40
CLM70223,POL51499,2025-09-24,184635.37,Pending,Hospital,No,10
CLM70224,POL51537,2024-05-05,1419072.55,Approved,Death,No,34
CLM70225,POL51165,2025-12-22,861185.1,Pending,Death,No,24
CLM70226,POL52727,2025-01-30,1775879.32,Pending,Death,No,27
CLM70227,POL50136,2025-05-13,169833.45,Approved,Theft,No,5
CLM70228,POL51168,2024-06-08,208084.94,Approved,Accident,No,24
CLM70229,POL52424,2021-12-07,284170.04,Rejected,Other,No,4
CLM70230,POL50583,2025-07-02,151624.99,Pending,Other,No,25
CLM70231,POL52644,2025-02-24,234684.9,Rejected,Accident,No,18
CLM70232,POL51197,2023-10-28,183045.94,Approved,Theft,No,9
CLM70233,POL50440,2023-10-22,1873792.1,Rejected,Death,No,22
CLM70234,POL50260,2022-05-12,174805.54,Approved,Other,No,10
CLM70235,POL50922,2023-11-12,280164.6,Approved,Other,No,4
CLM70236,POL52601,2026-02-28,195647.65,Rejected,Hospital,No,2
CLM70237,POL52656,2026-08-03,1551685,Approved,Death,No,16
CLM70238,POL51588,2023-07-06,202714.64,Rejected,Theft,No,33
CLM70239,POL50332,2022-08-22,342035.79,Rejected,Hospital,No,26
CLM70240,POL51284,2023-11-09,356719.82,Approved,Hospital,No,6
CLM70241,POL51175,2021-12-17,93674.46,Approved,Other,No,20
CLM70242,POL50652,2022-10-31,228059.45,Approved,Hospital,No,26
CLM70243,POL50212,2024-08-13,403452.96,Approved,Accident,No,11
CLM70244,POL51074,2022-10-22,1572838.85,Approved,Death,No,7
CLM70245,POL51046,2025-05-30,411720.53,Approved,Hospital,No,11
CLM70246,POL51988,2026-02-11,158063.86,Pending,Other,No,3
CLM70247,POL51110,2025-08-22,539998.14,Pending,Accident,Yes,11
CLM70248,POL50034,2024-07-06,179982.14,Approved,Accident,No,24
CLM70249,POL50053,2026-08-18,104193,Pending,Hospital,No,36
CLM70250,POL51940,2021-09-30,130559.6,Pending,Other,No,39
CLM70251,POL51865,2025-04-10,400033.66,Pending,Hospital,No,30
CLM70252,POL50451,2025-09-26,104569.64,Approved,Theft,No,16
CLM70253,POL52449,2022-01-20,86317.11,Pending,Theft,No,42
CLM70254,POL51870,2022-04-22,105763.6,Pending,Accident,No,41
CLM70255,POL50432,2022-07-29,361200.45,Pending,Accident,No,16
CLM70256,POL50811,2021-11-21,436414.47,Pending,Death,No,1
CLM70257,POL52753,2023-06-03,197383.88,Rejected,Other,No,20
CLM70258,POL51148,2024-12-13,152766.95,Approved,Theft,No,21
CLM70259,POL50667,2022-11-23,170061.79,Pending,Accident,No,30
CLM70260,POL51477,2023-02-19,109245.29,Approved,Theft,No,7
CLM70261,POL50581,2024-09-14,166297.89,Approved,Other,No,24
CLM70262,POL52235,2024-01-25,150889.63,Approved,Hospital,No,14
CLM70263,POL52243,2022-04-14,249379.17,Approved,Accident,No,22
CLM70264,POL52262,2022-01-21,1100035.75,Approved,Death,No,2
CLM70265,POL51743,2022-12-04,203764.7,Pending,Other,No,24
CLM70266,POL51959,2024-05-23,239318.55,Pending,Other,No,2
CLM70267,POL50907,2024-02-24,162877.68,Rejected,Other,No,38
CLM70268,POL52486,2025-05-08,88729.31,Approved,Other,No,32
CLM70269,POL50404,2023-06-17,277686.07,Rejected,Hospital,Yes,41
CLM70270,POL50717,2026-04-01,305432.67,Pending,Hospital,No,29
CLM70271,POL52807,2022-10-10,821897.05,Rejected,Death,No,44
CLM70272,POL52716,2025-03-28,190504.53,Pending,Hospital,No,10
CLM70273,POL51429,2026-05-19,861822.74,Approved,Accident,No,1
CLM70274,POL51404,2025-07-29,94295.29,Approved,Theft,No,40
CLM70275,POL50328,2023-02-19,191995.6,Pending,Other,Yes,30
CLM70276,POL51862,2024-12-10,421776.96,Approved,Accident,No,31
CLM70277,POL50084,2024-04-22,758818.14,Pending,Death,No,13
CLM70278,POL50887,2023-01-04,165454.87,Approved,Theft,No,15
CLM70279,POL51177,2025-02-28,179988.73,Pending,Hospital,No,30
CLM70280,POL52528,2024-03-10,250027.79,Rejected,Accident,No,18
CLM70281,POL52739,2021-12-10,235187.15,Approved,Other,No,4
CLM70282,POL52754,2026-03-06,815083.68,Pending,Death,No,13
CLM70283,POL52256,2025-03-14,852567.96,Pending,Theft,No,17
CLM70284,POL50818,2024-10-13,143536.31,Rejected,Theft,No,37
CLM70285,POL50124,2023-01-27,358423.21,Rejected,Theft,No,16
CLM70286,POL51197,2022-09-09,196880.65,Approved,Other,No,22
CLM70287,POL50839,2022-05-11,950160.89,Pending,Death,No,27
CLM70288,POL51849,2026-07-22,312941.37,Approved,Other,No,6
CLM70289,POL51044,2022-10-29,67396.78,Pending,Other,No,26
CLM70290,POL52519,2025-05-20,309219.12,Pending,Accident,No,9
CLM70291,POL51053,2022-09-23,174735.07,Approved,Accident,No,39
CLM70292,POL51063,2023-07-15,723717.26,Rejected,Death,No,14
CLM70293,POL52141,2025-10-03,117817.19,Approved,Other,No,14
CLM70294,POL51664,2022-05-20,555841.19,Pending,Death,No,18
CLM70295,POL50720,2026-07-25,78780.6,Pending,Theft,No,16
CLM70296,POL51909,2025-03-01,267205.94,Approved,Hospital,No,27
CLM70297,POL51587,2024-12-03,212872.33,Approved,Hospital,No,32
CLM70298,POL50291,2023-12-11,215113.38,Approved,Accident,No,43
CLM70299,POL51314,2022-03-30,321569.88,Approved,Hospital,No,40
CLM70300,POL52598,2024-03-02,225636.27,Rejected,Theft,Yes,12
CLM70301,POL50598,2021-11-03,192521.79,Approved,Hospital,No,27
CLM70302,POL51167,2023-01-23,1011398.58,Rejected,Hospital,Yes,15
CLM70303,POL50778,2023-08-05,299451.12,Rejected,Theft,Yes,36
CLM70304,POL51514,2025-10-23,611159.03,Pending,Theft,Yes,2
CLM70305,POL52757,2022-02-04,731368.4,Approved,Death,No,44
CLM70306,POL50874,2023-01-25,203936.04,Pending,Theft,No,17
CLM70307,POL52354,2024-09-21,118450.24,Pending,Hospital,No,33
CLM70308,POL52369,2024-02-25,186492.01,Pending,Hospital,No,30
CLM70309,POL50732,2025-12-27,186695.94,Rejected,Accident,No,17
CLM70310,POL52179,2023-08-06,670744.25,Rejected,Other,No,43
CLM70311,POL52794,2021-11-23,127321.86,Approved,Theft,No,12
CLM70312,POL52699,2022-09-13,160122.63,Approved,Theft,No,33
CLM70313,POL51710,2022-08-05,435092.92,Pending,Death,No,41
CLM70314,POL50426,2023-10-30,195878.97,Rejected,Other,No,6
CLM70315,POL50335,2021-12-07,140262.38,Pending,Hospital,No,41
CLM70316,POL50753,2023-03-14,1424630.31,Rejected,Death,No,40
CLM70317,POL51696,2024-05-19,102237.51,Pending,Accident,Yes,17
CLM70318,POL51087,2023-05-31,141150.07,Pending,Other,No,37
CLM70319,POL51974,2021-10-20,87420.31,Approved,Hospital,No,1
CLM70320,POL52224,2024-09-19,704253.44,Pending,Death,No,9
CLM70321,POL50509,2026-02-20,129934.29,Pending,Other,No,34
CLM70322,POL52560,2026-04-15,163058.95,Approved,Hospital,No,42
CLM70323,POL50168,2026-03-18,140168.98,Rejected,Theft,No,6
CLM70324,POL50747,2025-09-22,292522.32,Pending,Theft,No,32
CLM70325,POL52301,2024-08-17,741509.58,Approved,Accident,No,5
CLM70326,POL50519,2025-06-17,260676.75,Approved,Hospital,No,35
CLM70327,POL50621,2023-05-18,97574.24,Pending,Other,No,40
CLM70328,POL52759,2025-10-27,258139.37,Approved,Accident,No,21
CLM70329,POL52581,2023-11-05,125650.06,Approved,Other,No,5
CLM70330,POL52296,2023-10-24,1404014.9,Rejected,Death,No,9
CLM70331,POL50490,2025-04-27,1039323.58,Approved,Death,No,23
CLM70332,POL50719,2025-05-08,113586.36,Approved,Accident,No,36
CLM70333,POL50663,2021-12-16,432866.19,Approved,Accident,No,23
CLM70334,POL50534,2022-03-21,1459450.15,Approved,Death,No,22
CLM70335,POL52744,2023-08-13,1900569.99,Rejected,Death,No,27
CLM70336,POL50467,2025-04-12,115863.74,Approved,Other,No,43
CLM70337,POL52107,2025-01-23,1046160.06,Pending,Death,No,35
CLM70338,POL50140,2025-12-19,121661.09,Rejected,Hospital,No,7
CLM70339,POL51533,2026-05-13,877232.76,Approved,Death,No,9
CLM70340,POL50198,2023-12-28,268303.88,Approved,Hospital,No,16
CLM70341,POL50171,2024-07-15,654824.25,Approved,Death,No,12
CLM70342,POL50650,2024-07-07,261072.34,Pending,Hospital,No,33
CLM70343,POL52617,2024-04-08,978866.05,Approved,Death,No,44
CLM70344,POL51803,2022-06-26,119787.23,Approved,Other,No,26
CLM70345,POL51839,2023-07-31,442465.83,Approved,Hospital,No,40
CLM70346,POL50840,2025-05-27,800449.45,Pending,Death,No,20
CLM70347,POL52042,2026-04-19,961812.12,Rejected,Death,Yes,31
CLM70348,POL51923,2022-05-01,105654.67,Approved,Hospital,No,31
CLM70349,POL51298,2021-09-30,285209.24,Approved,Hospital,No,13
CLM70350,POL51926,2025-09-02,118177.58,Pending,Other,No,33
CLM70351,POL52452,2026-06-06,1452440.1,Approved,Death,No,24
CLM70352,POL52716,2022-02-06,129786.11,Pending,Accident,No,26
CLM70353,POL52818,2022-12-03,310073.51,Rejected,Accident,No,12
CLM70354,POL51372,2024-05-21,73891.62,Approved,Hospital,Yes,15
CLM70355,POL50088,2023-05-12,340152.81,Approved,Accident,No,38
CLM70356,POL50647,2023-08-24,229077.32,Rejected,Accident,No,28
CLM70357,POL50555,2024-10-01,305252,Approved,Accident,No,6
CLM70358,POL50848,2023-06-25,666682.22,Approved,Death,No,24
CLM70359,POL51015,2024-12-20,111978.55,Rejected,Theft,No,28
CLM70360,POL51887,2025-08-02,120709.13,Approved,Other,No,36
CLM70361,POL51482,2025-09-22,165114.85,Approved,Other,No,38
CLM70362,POL51834,2024-09-17,333534.48,Rejected,Accident,No,29
CLM70363,POL52748,2022-04-18,1047662.3,Approved,Death,No,1
CLM70364,POL50135,2024-07-07,137723.38,Pending,Hospital,No,22
CLM70365,POL50037,2023-04-12,551403.73,Pending,Hospital,No,10
CLM70366,POL51879,2022-12-30,1062948.36,Rejected,Death,No,1
CLM70367,POL51540,2022-07-26,131864.46,Pending,Theft,No,41
CLM70368,POL51357,2023-12-27,222531.12,Approved,Theft,No,8
CLM70369,POL52412,2023-11-15,204578.24,Rejected,Theft,No,11
CLM70370,POL50447,2024-01-03,137409.93,Rejected,Other,No,15
CLM70371,POL51617,2026-07-03,190039.74,Pending,Hospital,No,21
CLM70372,POL52635,2024-01-28,1472667.08,Rejected,Death,No,27
CLM70373,POL51253,2025-11-23,355867.73,Approved,Other,No,14
CLM70374,POL51635,2022-10-05,325184.55,Rejected,Death,No,35
CLM70375,POL50195,2021-12-19,333027.36,Approved,Theft,No,7
CLM70376,POL50983,2026-05-15,181802.62,Approved,Theft,No,43
CLM70377,POL50113,2023-01-21,1013069.42,Pending,Death,No,38
CLM70378,POL51613,2024-09-22,294846.97,Pending,Other,No,27
CLM70379,POL51665,2023-03-30,39774.69,Approved,Other,No,3
CLM70380,POL52690,2021-12-29,330637.38,Rejected,Hospital,No,33
CLM70381,POL51801,2022-07-28,284827.53,Pending,Other,Yes,31
CLM70382,POL50007,2025-07-03,127567.86,Rejected,Theft,No,28
CLM70383,POL52355,2023-01-20,124522.25,Pending,Accident,No,13
CLM70384,POL50928,2026-01-07,567604.76,Approved,Accident,Yes,19
CLM70385,POL52015,2022-04-23,91417.02,Approved,Hospital,No,19
CLM70386,POL50745,2024-10-28,184926.82,Approved,Other,No,27
CLM70387,POL52144,2022-05-29,1501093.22,Approved,Death,No,15
CLM70388,POL52622,2024-10-05,268252.06,Approved,Hospital,No,18
CLM70389,POL50221,2021-12-02,331549.53,Pending,Accident,No,40
CLM70390,POL51535,2022-03-31,157660.98,Approved,Theft,No,20
CLM70391,POL51523,2021-11-12,226856.4,Rejected,Theft,No,27
CLM70392,POL50808,2025-02-04,105256.58,Rejected,Other,No,41
