agent_id,region,join_date,total_policies_sold,lapsed_policies,avg_premium_sold,fraud_association
AGT5077,West,2022-03-09,8,2,30615.23,2
AGT5078,South,2021-04-19,10,1,27001.66,1
AGT5079,East,2020-09-28,9,3,25805.6,1
AGT5080,West,2021-03-26,10,3,25728.8,0
AGT5081,North,2020-10-02,12,2,26751.89,3
AGT5082,Central,2025-07-11,9,3,27117.76,0
AGT5083,South,2024-12-19,7,2,28502.66,0
AGT5084,West,2021-09-20,11,4,30537.0,0
AGT5085,North,2023-12-01,10,4,28422.02,0
AGT5086,Central,2023-12-03,6,1,26253.82,0
AGT5087,North,2022-11-07,11,5,28996.24,1
AGT5088,North,2023-10-21,8,0,28121.94,0
AGT5089,West,2024-08-15,8,0,27057.26,0
AGT5090,North-East,2021-08-17,3,1,29737.4,0
AGT5091,West,2022-03-06,6,2,26642.44,0
AGT5092,West,2022-12-28,7,3,29310.56,0
AGT5093,East,2023-01-16,8,3,28713.7,0
AGT5094,West,2020-10-12,6,2,25690.1,0
AGT5095,North,2021-07-03,16,3,29569.22,0
AGT5096,South,2021-06-08,5,1,25005.12,0
AGT5097,Central,2024-03-08,10,2,31032.31,3
AGT5098,East,2025-06-29,8,4,25326.54,0
AGT5099,Central,2023-01-11,8,3,30696.98,0
AGT5100,Central,2024-12-20,2,0,25729.98,0
AGT5101,Central,2023-08-07,5,1,30808.46,1
AGT5102,Central,2021-09-05,14,3,26443.63,0
AGT5103,North,2023-07-09,5,1,25843.43,0
AGT5104,North-East,2024-11-03,14,4,24540.45,1
AGT5105,North-East,2020-12-04,7,0,25140.85,2
AGT5106,Central,2020-09-17,6,3,26335.66,0
AGT5107,North-East,2023-10-29,10,5,26279.12,0
AGT5108,East,2024-03-28,11,3,31678.45,0
AGT5109,East,2025-07-27,10,3,30795.38,0
AGT5110,South,2024-11-30,13,4,28519.47,1
AGT5111,North,2024-05-10,10,5,31631.61,0
AGT5112,West,2023-08-27,7,1,27501.05,0
AGT5113,East,2023-06-12,7,3,27176.47,0
AGT5114,South,2022-02-15,8,3,25276.96,4
AGT5115,South,2023-02-10,9,6,26932.57,3
AGT5116,West,2023-02-07,6,2,29160.54,0
AGT5117,North-East,2023-08-18,12,4,27941.33,0
AGT5118,West,2023-09-24,10,3,27693.32,0
AGT5119,South,2024-01-25,6,1,26740.3,1
AGT5120,West,2024-10-03,15,4,27218.54,1
AGT5121,Central,2023-02-10,10,5,27664.6,0
AGT5122,North-East,2024-03-30,14,5,29845.68,0
AGT5123,East,2023-04-25,11,1,27658.04,0
AGT5124,West,2022-10-13,4,2,31798.39,0
AGT5125,Central,2022-04-02,8,2,27114.51,0
AGT5126,Central,2020-12-27,10,5,28425.44,0
AGT5127,West,2025-02-19,5,1,24680.11,0
AGT5128,North-East,2022-10-04,10,4,26609.08,2
AGT5129,West,2023-01-15,10,2,30320.34,0
AGT5130,Central,2023-02-23,15,5,27429.55,0
AGT5131,North-East,2025-05-14,11,3,25985.95,0
AGT5132,North-East,2022-05-29,6,1,27909.06,0
AGT5133,West,2024-02-28,4,1,30404.44,1
AGT5134,East,2020-10-10,7,2,30389.29,1
AGT5135,East,2022-02-10,6,3,27274.41,1
AGT5136,East,2021-08-19,7,2,33037.46,0
AGT5137,West,2022-05-23,12,3,31490.02,0
AGT5138,South,2021-10-31,8,1,27300.2,0
AGT5139,North-East,2021-10-09,10,2,27582.1,0
AGT5140,South,2025-03-20,9,1,27921.9,0
AGT5141,North-East,2022-05-15,12,2,31153.07,0
AGT5142,Central,2023-09-07,11,3,29227.05,1
AGT5143,East,2024-11-19,9,3,26548.53,0
AGT5144,North-East,2023-12-16,11,3,29681.73,0
AGT5145,East,2021-04-30,7,2,29852.86,0
AGT5146,North-East,2022-02-20,10,3,27967.01,1
AGT5147,North,2024-03-24,11,2,28345.12,0
AGT5148,North-East,2025-06-21,11,6,24477.04,1
AGT5149,North-East,2024-11-02,8,2,29807.47,2
AGT5150,East,2024-01-15,8,1,25598.27,0
AGT5151,South,2024-05-06,12,0,28751.6,2
AGT5152,East,2024-08-26,20,6,29334.11,0
AGT5153,West,2024-09-02,10,6,29113.34,0
AGT5154,East,2024-11-23,7,4,30402.1,1
AGT5155,North-East,2023-10-13,9,3,27844.97,1
AGT5156,Central,2022-01-31,7,1,26585.73,0
AGT5157,West,2024-06-02,5,3,30641.45,0
AGT5158,North,2024-01-04,12,3,29624.45,0
AGT5159,North,2021-04-26,11,4,25458.77,2
AGT5160,East,2021-09-02,7,4,30577.49,0
AGT5161,North,2023-09-14,7,2,26973.28,0
AGT5162,East,2021-03-06,14,8,28915.81,1
AGT5163,Central,2022-10-02,14,5,27941.84,0
AGT5164,West,2025-08-22,12,6,29519.5,0
AGT5165,South,2022-03-11,8,1,27243.24,0
AGT5166,North,2021-09-20,6,2,27157.84,0
AGT5167,South,2020-11-27,13,3,29724.25,1
AGT5168,East,2020-10-06,12,4,27586.23,1
AGT5169,West,2025-01-28,10,5,27813.29,1
AGT5170,North,2022-06-16,11,4,27250.61,0
AGT5171,North-East,2021-06-19,6,1,25523.93,0
AGT5172,North-East,2024-10-23,3,2,28965.54,0
AGT5173,Central,2025-02-22,10,5,27355.77,1
AGT5174,South,2020-10-31,12,1,28700.28,0
AGT5175,North,2020-12-28,10,4,31048.02,0
AGT5176,Central,2022-10-29,13,2,28643.13,1
AGT5177,East,2023-10-05,9,2,28934.3,0
AGT5178,Central,2021-04-11,11,1,28796.62,0
AGT5179,West,2021-10-17,7,4,25984.84,0
AGT5180,South,2021-12-17,8,3,28233.99,0
AGT5181,South,2022-05-17,10,1,29033.04,5
AGT5182,North,2022-06-13,10,5,28069.52,1
AGT5183,South,2020-11-27,11,4,30452.83,1
AGT5184,North-East,2025-01-22,8,2,30292.88,0
AGT5185,North,2022-01-04,11,4,28571.53,0
AGT5186,West,2021-06-06,14,4,26389.06,2
AGT5187,East,2024-02-15,12,1,30827.14,0
AGT5188,Central,2023-04-02,10,4,28215.61,1
AGT5189,North-East,2024-01-08,14,5,27331.59,0
AGT5190,North,2024-03-15,9,3,26266.5,1
AGT5191,South,2025-04-22,11,2,28005.63,0
AGT5192,South,2022-11-11,8,1,25805.88,0
AGT5193,North,2022-12-16,9,0,29548.33,0
AGT5194,North-East,2024-11-17,15,3,28773.22,1
AGT5195,South,2021-03-24,11,2,26685.99,0
AGT5196,North-East,2021-03-15,12,5,29584.53,0
AGT5197,Central,2023-09-22,5,2,29143.58,2
AGT5198,North,2024-08-01,5,0,32923.21,0
AGT5199,North-East,2025-05-29,13,3,28713.32,0
AGT5200,South,2024-10-15,6,0,31135.79,0
AGT5201,North,2020-11-18,7,1,27911.13,1
AGT5202,Central,2021-03-14,11,3,28859.23,0
AGT5203,West,2023-10-28,12,2,25608.4,0
AGT5204,East,2025-01-10,8,2,24091.56,0
AGT5205,East,2025-03-24,14,4,31537.03,1
AGT5206,North-East,2021-06-16,6,1,29007.97,0
AGT5207,Central,2022-02-18,9,3,29336.97,1
AGT5208,North,2022-11-18,10,2,26909.92,0
AGT5209,West,2023-03-15,7,3,28725.92,1
AGT5210,North-East,2024-05-02,11,4,28586.49,1
AGT5211,Central,2021-03-03,9,1,31268.53,1
AGT5212,West,2023-11-28,7,2,26520.81,1
AGT5213,West,2022-05-06,7,2,29444.09,0
AGT5214,Central,2021-05-12,10,1,27949.44,0
AGT5215,East,2024-11-30,7,3,28055.24,0
AGT5216,East,2022-11-13,13,5,25480.3,0
AGT5217,East,2022-10-02,9,4,31267.48,0
AGT5218,North-East,2024-07-08,6,0,33075.85,0
AGT5219,North,2021-11-24,8,2,26362.61,0
AGT5220,West,2024-09-19,13,1,28579.01,2
AGT5221,North,2022-05-19,12,5,27320.22,0
AGT5222,South,2023-03-14,7,4,27175.66,0
AGT5223,East,2021-02-05,12,1,24881.78,0
AGT5224,West,2022-07-15,13,6,31573.64,0
AGT5225,South,2024-06-12,7,2,31583.34,0
AGT5226,South,2022-06-23,7,2,28117.16,1
AGT5227,West,2023-12-31,8,4,31439.17,0
AGT5228,East,2021-06-06,13,2,26895.74,1
AGT5229,East,2024-06-09,13,2,25993.27,3
AGT5230,West,2022-10-13,9,0,26632.03,0
AGT5231,Central,2021-10-24,9,4,28678.71,0
AGT5232,South,2024-09-06,8,3,25704.65,0
AGT5233,East,2022-09-27,7,1,29903.06,0
AGT5234,South,2022-09-20,9,2,28743.55,0
AGT5235,North,2022-12-19,11,3,31499.07,0
AGT5236,East,2024-12-07,6,2,29598.77,0
AGT5237,North-East,2024-08-23,8,3,28639.47,0
AGT5238,West,2022-06-25,14,1,28542.55,1
AGT5239,East,2020-10-27,9,2,28700.96,0
AGT5240,Central,2021-05-26,12,3,25500.88,0
AGT5241,Central,2020-09-21,8,5,28749.9,1
AGT5242,North-East,2024-09-14,13,2,29585.27,0
AGT5243,Central,2025-05-23,7,2,29096.18,0
AGT5244,East,2021-02-04,12,2,30035.74,1
AGT5245,East,2022-03-31,9,3,30453.6,2
AGT5246,South,2025-08-01,7,2,28373.13,0
AGT5247,East,2021-06-30,13,6,29506.68,0
AGT5248,South,2020-12-24,8,2,28685.66,0
AGT5249,North-East,2024-06-20,7,3,25877.73,0
AGT5250,South,2023-12-22,9,5,29591.83,0
AGT5251,South,2023-11-18,7,1,28833.72,1
AGT5252,Central,2025-03-08,7,0,27407.96,1
AGT5253,West,2020-12-17,10,1,26749.5,1
AGT5254,North,2023-10-31,9,1,26788.19,0
AGT5255,East,2024-03-28,2,0,30196.17,0
AGT5256,South,2023-12-22,8,1,29424.59,0
AGT5257,South,2023-04-10,10,3,31039.84,0
AGT5258,Central,2022-02-24,10,2,30204.87,1
AGT5259,West,2022-09-07,8,4,30970.87,0
AGT5260,Central,2024-01-29,10,6,29237.02,0
AGT5261,East,2023-06-10,7,3,28491.61,0
AGT5262,East,2022-03-12,14,4,27899.77,1
AGT5263,Central,2024-05-21,10,4,26205.84,1
AGT5264,North-East,2025-03-21,7,1,29479.58,0
AGT5265,West,2020-09-17,9,3,29676.51,2
AGT5266,East,2022-01-26,8,3,27997.93,0
AGT5267,South,2023-04-24,12,1,27803.55,2
AGT5268,Central,2025-04-10,12,6,29903.3,0
AGT5269,North-East,2024-03-04,2,2,31648.52,2
AGT5270,North-East,2022-11-26,10,2,30733.44,0
AGT5271,North-East,2021-09-12,9,1,28064.14,0
AGT5272,Central,2023-05-25,5,2,25244.98,1
AGT5273,North,2024-08-12,12,3,25090.56,2
AGT5274,West,2023-12-07,7,3,24269.32,1
AGT5275,North,2024-02-28,14,4,30799.16,1
AGT5276,North-East,2025-02-09,13,6,27390.3,0
AGT5277,South,2024-07-31,10,2,27887.84,1
AGT5278,South,2022-09-11,16,4,26425.29,2
AGT5279,North,2021-08-29,11,2,29861.9,0
AGT5280,North-East,2022-03-07,14,4,30007.39,0
AGT5281,North-East,2020-11-09,7,2,28845.21,0
AGT5282,South,2022-05-06,4,1,28234.3,1
AGT5283,South,2024-04-19,12,2,30270.91,5
AGT5284,East,2024-05-16,17,4,28102.41,0
AGT5285,Central,2021-04-21,5,3,31863.74,1
AGT5286,West,2025-08-19,8,3,27151.87,0
AGT5287,South,2022-02-03,12,4,27379.26,0
AGT5288,West,2021-02-19,11,4,28818.73,0
AGT5289,West,2023-06-07,13,4,26062.49,0
AGT5290,North-East,2023-04-12,12,6,28213.84,0
AGT5291,North,2024-06-16,4,0,32272.75,0
AGT5292,North-East,2021-06-22,8,1,24887.13,0
AGT5293,West,2020-10-23,9,1,26907.78,1
AGT5294,North,2024-08-27,8,2,27253.31,0
AGT5295,North,2023-08-20,4,0,24727.55,0
AGT5296,North,2021-11-17,9,4,28488.01,0
AGT5297,North,2024-07-17,9,1,28813.52,0
AGT5298,West,2024-04-21,14,3,28643.35,4
AGT5299,South,2025-08-10,12,1,29429.2,1
