policy_id,customer_id,product_type,coverage_amount,annual_premium,policy_start_date,policy_end_date,agent_id,status
POL50098,CUST10445,Property,664155.05,35720.96,2023-05-17,2024-05-17,AGT5235,Lapsed
POL50099,CUST11288,Whole,746735.8,35440.46,2023-05-15,2024-05-15,AGT5012,Lapsed
POL50100,CUST10535,Term,707872.21,37499.29,2025-11-15,2026-11-15,AGT5122,Lapsed
POL50101,CUST11152,Term,679961.75,35286.67,2022-08-16,2023-08-16,AGT5155,Lapsed
POL50102,CUST10333,Whole,496514.77,23739.7,2025-06-22,2026-06-22,AGT5062,Active
POL50103,CUST10790,Property,405822.0,19973.28,2024-08-29,2025-08-29,AGT5263,Active
POL50104,CUST10582,Property,606238.12,27699.11,2023-02-17,2024-02-17,AGT5187,Active
POL50105,CUST10834,Health,362079.57,18457.28,2022-01-26,2023-01-26,AGT5082,Lapsed
POL50106,CUST10941,Property,659963.06,35558.09,2023-01-17,2024-01-17,AGT5131,Active
POL50107,CUST11637,Vehicle,656518.59,30316.84,2023-12-02,2024-12-02,AGT5033,Lapsed
POL50108,CUST11488,Vehicle,590780.46,27364.94,2026-06-04,2027-06-04,AGT5026,Cancelled
POL50109,CUST11152,Health,408853.17,20338.67,2026-01-05,2027-01-05,AGT5223,Lapsed
POL50110,CUST10257,Whole,722152.75,34527.78,2025-02-02,2026-02-02,AGT5295,Active
POL50111,CUST11525,Vehicle,603258.23,28817.22,2024-07-19,2025-07-19,AGT5083,Active
POL50112,CUST11477,Vehicle,572629.16,29425.52,2025-11-14,2026-11-14,AGT5073,Active
POL50113,CUST11467,Whole,603522.83,29634.52,2024-12-01,2025-12-01,AGT5205,Active
POL50114,CUST10790,Vehicle,409331.32,21877.32,2024-02-08,2025-02-08,AGT5153,Lapsed
POL50115,CUST10287,Whole,670068.27,33027.04,2025-06-14,2026-06-14,AGT5041,Active
POL50116,CUST11249,Property,408398.6,20890.71,2024-12-01,2025-12-01,AGT5200,Active
POL50117,CUST10648,Whole,607679.44,29763.48,2024-01-15,2025-01-15,AGT5062,Active
POL50118,CUST10571,Whole,450163.98,21409.9,2021-06-01,2022-06-01,AGT5034,Active
POL50119,CUST10653,Term,460738.29,22904.83,2024-01-12,2025-01-12,AGT5139,Lapsed
POL50120,CUST10927,Whole,474802.89,24786.99,2021-10-29,2022-10-29,AGT5221,Active
POL50121,CUST10551,Term,386957.6,21100.06,2024-05-21,2025-05-21,AGT5156,Active
POL50122,CUST11142,vehcle,721736.51,32782.48,2024-02-19,2025-02-19,AGT5194,Cancelled
POL50123,CUST11073,Term,688315.76,34634.86,2020-12-27,2021-12-27,AGT5071,Lapsed
POL50124,CUST10843,Whole,397045.28,20392.11,2024-02-04,2025-02-04,AGT5148,Lapsed
POL50125,CUST10090,Term,403240.19,18491.47,2021-10-23,2022-10-23,AGT5213,Active
POL50126,CUST11551,Term,680167.52,36247.29,2023-07-13,2024-07-13,AGT5158,Active
POL50127,CUST10685,Health,352381.15,16829.55,2026-01-20,2027-01-20,AGT5071,Cancelled
POL50128,CUST10743,Whole,565564.58,30398.6,2021-05-24,2022-05-24,AGT5286,Lapsed
POL50129,CUST10754,Term,422433.9,21343.92,2026-04-17,2027-04-17,AGT5020,Active
POL50130,CUST10605,Health,557071.28,25915.4,2021-10-01,2022-10-01,AGT5273,Cancelled
POL50131,CUST11117,Property,769361.06,40308.53,2020-10-14,2021-10-14,AGT5217,Lapsed
POL50132,CUST10026,Property,451228.28,21014.73,2025-05-24,2026-05-24,AGT5033,Lapsed
POL50133,CUST11444,Property,753323.28,39326.33,2022-02-22,2023-02-22,AGT5076,Active
POL50134,CUST10169,Whole,718209.24,38123.97,2024-11-27,2025-11-27,AGT5110,Active
POL50135,CUST11647,Vehicle,750653.18,38099.62,2025-12-31,2026-12-31,AGT5287,Active
POL50136,CUST11047,Vehicle,667619.3,31852.73,2023-05-04,2024-05-04,AGT5155,Active
POL50137,CUST10111,Term,708443.31,34978.24,2025-07-07,2026-07-07,AGT5077,Active
POL50138,CUST10933,Property,613920.09,30868.03,2024-04-25,2025-04-25,AGT5275,Lapsed
POL50139,CUST10548,Whole,718904.37,37137.03,2023-01-31,2024-01-31,AGT5035,Active
POL50140,CUST11575,Term,424041.93,21770.0,2020-12-10,2021-12-10,AGT5244,Active
POL50141,CUST11251,Property,670536.91,32859.15,2025-11-05,2026-11-05,AGT5249,Active
POL50142,CUST10841,Term,621358.05,32672.04,2020-10-23,2021-10-23,AGT5115,Active
POL50143,CUST10711,Vehicle,400621.97,21118.45,2023-04-18,2024-04-18,AGT5012,Lapsed
POL50144,CUST11643,Property,497262.29,25839.4,2023-03-01,2024-03-01,AGT5265,Active
POL50145,CUST11104,Whole,468201.12,22343.28,2025-10-31,2026-10-31,AGT5290,Active
POL50146,CUST10853,Property,540992.55,26884.06,2022-07-30,2023-07-30,AGT5113,Lapsed
POL50147,CUST10666,Health,419423.67,20689.15,2022-03-20,2023-03-20,AGT5055,Active
POL50148,CUST10535,Vehicle,481885.61,25620.86,2021-05-12,2022-05-12,AGT5081,Active
POL50149,CUST11170,Vehicle,489899.39,26004.74,2021-04-08,2022-04-08,AGT5040,Active
POL50150,CUST10971,Health,559933.81,30046.5,2021-09-06,2022-09-06,AGT5182,Active
POL50151,CUST11402,Term,432954.34,20483.83,2021-07-15,2022-07-15,AGT5155,Lapsed
POL50152,CUST10915,Property,477823.98,25078.37,2022-03-17,2023-03-17,AGT5106,Lapsed
POL50153,CUST10959,Health,461001.82,24757.64,2021-03-18,2022-03-18,AGT5195,Lapsed
POL50154,CUST10788,Vehicle,547747.68,25560.59,2022-07-07,2023-07-07,AGT5186,Active
POL50155,CUST11262,Health,363331.02,16495.0,2023-02-12,2024-02-12,AGT5003,Active
POL50156,CUST10691,Term,762699.17,35126.18,2021-09-08,2022-09-08,AGT5122,Active
POL50157,CUST11408,Health,455137.2,23240.23,2024-05-11,2025-05-11,AGT5259,Lapsed
POL50158,CUST10541,Vehicle,486616.36,23949.54,2022-08-17,2023-08-17,AGT5238,Active
POL50159,CUST11147,Health,544204.71,25550.69,2020-11-01,2021-11-01,AGT5256,Active
POL50160,CUST11478,Property,713802.39,35892.15,2021-01-09,2022-01-09,AGT5286,Active
POL50161,CUST11273,Whole,560871.61,29645.0,2023-01-05,2024-01-05,AGT5018,Active
POL50162,CUST10569,Term,476432.16,25516.84,2022-08-05,2023-08-05,AGT5081,Active
POL50163,CUST11171,Vehicle,591900.94,31084.99,2023-02-24,2024-02-24,AGT5137,Lapsed
POL50164,CUST10355,Health,519029.89,27952.41,2022-08-14,2023-08-14,AGT5153,Lapsed
POL50165,CUST10100,Property,547883.81,27965.01,2022-12-05,2023-12-05,AGT5235,Lapsed
POL50166,CUST11304,Property,763794.94,40764.3,2025-08-22,2026-08-22,AGT5217,Lapsed
POL50167,CUST11330,Vehicle,754469.2,37098.66,2021-05-26,2022-05-26,AGT5211,Active
POL50168,CUST10041,Property,601348.37,32187.04,2021-11-21,2022-11-21,AGT5047,Lapsed
POL50169,CUST11571,Whole,411181.51,22186.59,2025-03-09,2026-03-09,AGT5203,Lapsed
POL50170,CUST10735,Term,597779.06,31003.26,2024-03-10,2025-03-10,AGT5238,Lapsed
POL50171,CUST11498,Property,751701.78,37066.76,2023-08-19,2024-08-19,AGT5225,Active
POL50172,CUST11299,Health,673992.39,32228.12,2025-03-10,2026-03-10,AGT5174,Active
POL50173,CUST11489,Vehicle,459459.32,22169.74,2022-12-26,2023-12-26,AGT5026,Cancelled
POL50174,CUST11374,Vehicle,449865.16,20839.35,2021-05-13,2022-05-13,AGT5044,Active
POL50175,CUST11610,Term,439585.61,19988.67,2021-01-13,2022-01-13,AGT5222,Active
POL50176,CUST11049,Vehicle,687878.48,33805.22,2023-06-18,2024-06-18,AGT5260,Active
POL50177,CUST10387,Term,568456.0,25823.07,2023-02-12,2024-02-12,AGT5247,Active
POL50178,CUST10649,Whole,515147.93,27717.99,2023-07-31,2024-07-31,AGT5128,Active
POL50179,CUST11244,Vehicle,500777.11,25789.81,2023-02-13,2024-02-13,AGT5176,Active
POL50180,CUST10263,Term,486570.15,26000.69,2022-01-28,2023-01-28,AGT5052,Lapsed
POL50181,CUST11540,Property,724808.61,35837.56,2025-12-28,2026-12-28,AGT5177,Active
POL50182,CUST10352,Whole,542726.76,25638.16,2022-04-15,2023-04-15,AGT5058,Cancelled
POL50183,CUST11449,Vehicle,470238.7,22525.74,2026-06-15,2027-06-15,AGT5238,Cancelled
POL50184,CUST10800,Term,652519.43,34940.67,2024-09-21,2025-09-21,AGT5235,Active
POL50185,CUST11388,Whole,629650.0,29101.75,2022-02-24,2023-02-24,AGT5015,Active
POL50186,CUST11585,Property,660415.74,34330.17,2024-01-01,2025-01-01,AGT5280,Active
POL50187,CUST10700,Health,637684.64,30135.0,2025-05-21,2026-05-21,AGT5238,Active
POL50188,CUST11153,Property,423974.98,20576.23,2022-07-02,2023-07-02,AGT5113,Active
POL50189,CUST10386,Property,385765.67,17371.21,2023-02-11,2024-02-11,AGT5135,Active
POL50190,CUST11317,Health,367698.18,18308.02,2021-03-05,2022-03-05,AGT5023,Active
POL50191,CUST11354,Vehicle,645167.85,29860.64,2024-06-27,2025-06-27,AGT5280,Lapsed
POL50192,CUST10485,Property,744781.17,39917.64,2021-11-22,2022-11-22,AGT5030,Lapsed
POL50193,CUST10043,Health,465886.88,21420.21,2026-06-25,2027-06-25,AGT5276,Active
POL50194,CUST10713,Health,623417.96,29614.65,2022-11-30,2023-11-30,AGT5196,Active
POL50195,CUST10284,Property,665736.04,30056.64,2026-08-02,2027-08-02,AGT5275,Active
POL50196,CUST11350,Property,761553.71,41831.21,2025-05-14,2026-05-14,AGT5111,Active
POL50197,CUST10432,Whole,566255.34,29113.67,2023-11-25,2024-11-25,AGT5268,Lapsed
POL50198,CUST11563,Term,444856.84,22881.55,2023-03-20,2024-03-20,AGT5127,Active
POL50199,CUST11607,Term,673435.78,33798.8,2026-02-21,2027-02-21,AGT5105,Active
POL50200,CUST11504,Term,693879.4,37247.83,2023-05-21,2024-05-21,AGT5101,Active
POL50201,CUST10991,Whole,657310.53,30526.74,2020-09-05,2021-09-05,AGT5285,Lapsed
POL50202,CUST10440,Property,717324.94,37966.95,2023-06-18,2024-06-18,AGT5139,Active
POL50203,CUST11329,Health,479913.9,25469.62,2025-08-25,2026-08-25,AGT5143,Active
POL50204,CUST11162,Vehicle,638939.07,28983.1,2022-05-30,2023-05-30,AGT5193,Active
POL50205,CUST11614,Health,442347.02,20492.51,2026-07-04,2027-07-04,AGT5166,Cancelled
POL50206,CUST10629,Property,556879.46,28106.54,2020-09-04,2021-09-04,AGT5162,Lapsed
POL50207,CUST10100,Term,474010.76,21758.0,2026-04-11,2027-04-11,AGT5113,Lapsed
POL50208,CUST11646,Vehicle,436413.73,20870.9,2023-07-26,2024-07-26,AGT5049,Active
POL50209,CUST11382,Term,395216.16,19380.11,2024-04-05,2025-04-05,AGT5298,Active
POL50210,CUST10377,Vehicle,631798.37,29424.22,2025-09-17,2026-09-17,AGT5147,Active
POL50211,CUST11205,Vehicle,708853.23,36889.76,2022-12-15,2023-12-15,AGT5291,Active
POL50212,CUST10001,Property,506051.48,25277.58,2022-10-13,2023-10-13,AGT5138,Lapsed
POL50213,CUST10925,Property,550255.62,28282.13,2024-06-19,2025-06-19,AGT5179,Lapsed
POL50214,CUST10600,Property,386365.58,19218.98,2024-03-08,2025-03-08,AGT5163,Active
POL50215,CUST10636,Term,539004.1,26478.49,2023-09-26,2024-09-26,AGT5289,Active
POL50216,CUST10409,Whole,493309.01,24627.91,2020-12-11,2021-12-11,AGT5033,Active
POL50217,CUST10451,Health,550970.01,29749.71,2025-02-09,2026-02-09,AGT5155,Active
POL50218,CUST10751,Vehicle,721419.5,35320.98,2024-01-20,2025-01-20,AGT5046,Active
POL50219,CUST10414,Vehicle,569325.67,29276.22,2022-06-23,2023-06-23,AGT5260,Active
POL50220,CUST10769,Vehicle,633351.35,33782.72,2023-01-17,2024-01-17,AGT5159,Active
POL50221,CUST10953,Property,656610.89,33625.62,2021-05-30,2022-05-30,AGT5276,Lapsed
POL50222,CUST11179,Health,403351.17,19062.64,2021-07-06,2022-07-06,AGT5082,Lapsed
POL50223,CUST11121,Property,518429.68,23961.61,2024-01-05,2025-01-05,AGT5048,Active
POL50224,CUST10405,Health,389600.94,19834.11,2022-05-08,2023-05-08,AGT5188,Cancelled
POL50225,CUST10067,Health,504261.31,26359.73,2023-04-07,2024-04-07,AGT5043,Lapsed
POL50226,CUST11373,Property,726604.99,38282.91,2024-05-03,2025-05-03,AGT5111,Lapsed
POL50227,CUST11443,Term,564976.45,29343.76,2026-06-02,2027-06-02,AGT5094,Active
POL50228,CUST11616,Whole,560618.9,25247.22,2022-08-01,2023-08-01,AGT5066,Lapsed
POL50229,CUST11587,Term,461356.93,24331.23,2024-10-07,2025-10-07,AGT5039,Active
POL50230,CUST11056,Health,458576.05,23408.58,2022-09-24,2023-09-24,AGT5196,Active
POL50231,CUST11480,Property,745590.84,40919.38,2022-03-29,2023-03-29,AGT5227,Active
POL50232,CUST10740,Property,501653.2,26409.97,2025-03-10,2026-03-10,AGT5118,Lapsed
POL50233,CUST11297,Property,666583.84,32863.96,2023-05-23,2024-05-23,AGT5084,Active
POL50234,CUST11579,Whole,401224.54,20767.98,2022-02-24,2023-02-24,AGT5047,Active
POL50235,CUST11312,Term,430451.78,22021.64,2026-07-28,2027-07-28,AGT5203,Active
POL50236,CUST10691,Vehicle,495738.65,23980.83,2022-09-21,2023-09-21,AGT5242,Active
POL50237,CUST10630,Vehicle,718737.09,36177.84,2023-06-07,2024-06-07,AGT5164,Lapsed
POL50238,CUST10477,Property,469427.29,22083.65,2024-04-09,2025-04-09,AGT5129,Active
POL50239,CUST10608,Vehicle,652709.46,29945.2,2020-10-07,2021-10-07,AGT5194,Active
POL50240,CUST11354,Term,445410.58,23308.44,2024-10-28,2025-10-28,AGT5274,Active
POL50241,CUST11162,Whole,620944.19,30327.71,2024-07-21,2025-07-21,AGT5296,Active
POL50242,CUST10415,Vehicle,599821.07,31524.88,2020-09-07,2021-09-07,AGT5058,Cancelled
POL50243,CUST11180,Health,567681.77,28317.88,2023-07-14,2024-07-14,AGT5143,Active
POL50244,CUST10631,Whole,495216.46,26294.95,2026-01-30,2027-01-30,AGT5262,Active
POL50245,CUST10925,Property,447409.65,23442.52,2024-09-16,2025-09-16,AGT5189,Lapsed
POL50246,CUST10614,Health,660270.01,34757.48,2023-02-25,2024-02-25,AGT5244,Active
POL50247,CUST10863,Vehicle,593249.81,29243.25,2026-01-17,2027-01-17,AGT5298,Active
POL50248,CUST11212,Term,462394.47,25252.19,2024-11-22,2025-11-22,AGT5031,Cancelled
POL50249,CUST11213,Property,544131.69,26691.04,2025-04-01,2026-04-01,AGT5183,Active
POL50250,CUST11246,Property,410830.22,21745.83,2023-11-26,2024-11-26,AGT5159,Lapsed
POL50251,CUST10653,Property,568019.8,28341.85,2025-05-25,2026-05-25,AGT5085,Lapsed
POL50252,CUST11144,Whole,548197.95,25957.64,2024-07-26,2025-07-26,AGT5196,Lapsed
POL50253,CUST10401,Whole,436099.6,22367.17,2021-02-19,2022-02-19,AGT5031,Active
POL50254,CUST10788,Whole,556083.35,27632.39,2020-11-09,2021-11-09,AGT5148,Lapsed
POL50255,CUST10961,Property,631219.95,30071.76,2025-08-31,2026-08-31,AGT5124,Lapsed
POL50256,CUST11137,Whole,742468.82,36251.28,2024-09-14,2025-09-14,AGT5117,Active
POL50257,CUST11510,Property,655726.3,30556.43,2024-09-15,2025-09-15,AGT5184,Active
POL50258,CUST10501,Whole,578437.59,31739.13,2022-10-16,2023-10-16,AGT5283,Active
POL50259,CUST11396,Whole,681469.68,35049.24,2025-07-20,2026-07-20,AGT5284,Lapsed
POL50260,CUST10511,Term,488295.31,22820.7,2025-08-21,2026-08-21,AGT5210,Lapsed
POL50261,CUST10911,Whole,642480.92,33823.98,2022-10-27,2023-10-27,AGT5099,Active
POL50262,CUST11365,Health,351771.76,17946.97,2021-09-26,2022-09-26,AGT5289,Lapsed
POL50263,CUST11201,Term,409178.26,21369.54,2025-04-13,2026-04-13,AGT5299,Active
POL50264,CUST11426,Health,568492.97,28904.95,2024-11-08,2025-11-08,AGT5253,Active
POL50265,CUST11344,Term,454957.66,20748.19,2020-09-21,2021-09-21,AGT5261,Lapsed
POL50266,CUST10453,Property,650160.89,30578.63,2023-06-14,2024-06-14,AGT5245,Active
POL50267,CUST11639,Whole,630150.01,33200.99,2026-04-17,2027-04-17,AGT5228,Active
POL50268,CUST11552,Vehicle,402066.03,21125.96,2023-05-05,2024-05-05,AGT5217,Lapsed
POL50269,CUST10712,Term,531237.48,27910.55,2022-01-01,2023-01-01,AGT5191,Active
POL50270,CUST10080,Property,621005.85,28039.75,2020-10-16,2021-10-16,AGT5193,Cancelled
POL50271,CUST10497,Health,599718.57,31815.97,2022-05-12,2023-05-12,AGT5116,Lapsed
POL50272,CUST11378,Term,692836.11,34220.06,2026-03-15,2027-03-15,AGT5266,Active
POL50273,CUST11574,Property,512220.52,26603.0,2022-10-27,2023-10-27,AGT5190,Active
POL50274,CUST11371,Term,700707.17,33438.3,2021-03-19,2022-03-19,AGT5184,Active
POL50275,CUST10664,Vehicle,511908.17,26975.15,2024-05-09,2025-05-09,AGT5222,Active
POL50276,CUST10098,Whole,387689.93,21254.25,2022-06-29,2023-06-29,AGT5022,Active
POL50277,CUST10857,Property,619852.27,29464.92,2024-12-24,2025-12-24,AGT5275,Active
POL50278,CUST10626,Vehicle,469350.73,24801.42,2022-01-29,2023-01-29,AGT5174,Active
POL50279,CUST10206,Term,428951.47,21897.76,2023-08-21,2024-08-21,AGT5283,Active
POL50280,CUST10175,Term,480063.5,22913.89,2022-11-07,2023-11-07,AGT5030,Lapsed
POL50281,CUST10255,Health,639769.9,30672.85,2022-05-11,2023-05-11,AGT5070,Lapsed
POL50282,CUST10353,Term,730191.5,38200.97,2026-02-06,2027-02-06,AGT5284,Cancelled
